latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,
13.110721,80.2459,15,19800,Asia/Kolkata,GMT+5:30,,,
,,,,,,,,
time,rain_sum (mm),precipitation_sum (mm),temperature_2m_max (°C),wind_speed_10m_max (km/h),Y/N,RD,NRD,
01-01-2024,0,0,28.7,17.1,0,61,307,
02-01-2024,0,0,27.8,16.5,0,,,
03-01-2024,0,0,28.2,16.9,0,,,
04-01-2024,1,1,29,19.4,0,,,25
05-01-2024,0.3,0.3,29,16.9,0,,,
06-01-2024,2.7,2.7,28.3,23.4,0,,,
07-01-2024,20.3,20.3,26.6,23.8,1,,,
08-01-2024,25.5,25.5,26.7,23.7,1,,,
09-01-2024,0.1,0.1,28.3,20.7,0,,,
10-01-2024,0,0,28.1,18.3,0,,,
11-01-2024,0,0,28.2,16.4,0,,,
12-01-2024,0,0,28.4,14.5,0,,,
13-01-2024,0.2,0.2,28.4,14.7,0,,,
14-01-2024,0.3,0.3,28.3,12.6,0,,,
15-01-2024,0,0,28.4,11.7,0,,,
16-01-2024,0,0,28.1,10.1,0,,,
17-01-2024,0,0,28.1,13.2,0,,,
18-01-2024,0,0,28.4,11.6,0,,,
19-01-2024,0.1,0.1,28.6,13.8,0,,,
20-01-2024,0,0,28.6,14.6,0,,,
21-01-2024,0,0,29,12.6,0,,,
22-01-2024,0,0,28.5,12.9,0,,,
23-01-2024,0,0,28.9,15.3,0,,,
24-01-2024,0,0,29.4,16.9,0,,,
25-01-2024,0,0,29.1,15.3,0,,,
26-01-2024,1,1,29,14.8,0,,,
27-01-2024,0.3,0.3,29.3,16.6,0,,,
28-01-2024,0.2,0.2,28.8,17,0,,,
29-01-2024,0,0,28.6,16.9,0,,,
30-01-2024,0,0,29.7,18.8,0,,,
31-01-2024,0,0,29.4,13.8,0,,,
01-02-2024,0.6,0.6,29.2,14.4,0,,,
02-02-2024,0.3,0.3,29.9,15,0,,,
03-02-2024,0,0,29.7,12.6,0,,,
04-02-2024,0,0,30,13.4,0,,,
05-02-2024,0,0,29.8,13.6,0,,,
06-02-2024,0,0,29.8,13.7,0,,,
07-02-2024,0,0,30.3,12.8,0,,,
08-02-2024,0,0,30.9,12.3,0,,,
09-02-2024,0.1,0.1,30,14.4,0,,,
10-02-2024,0.1,0.1,30.9,16.2,0,,,
11-02-2024,0.1,0.1,30,19.2,0,,,
12-02-2024,0,0,29.5,17.2,0,,,
13-02-2024,1.1,1.1,30.1,19.6,0,,,
14-02-2024,0.1,0.1,30.4,16.8,0,,,
15-02-2024,0,0,29.8,15.8,0,,,
16-02-2024,0,0,30.4,17.4,0,,,
17-02-2024,0,0,31,16.1,0,,,
18-02-2024,0,0,30.5,15.1,0,,,
19-02-2024,0,0,31.6,18.4,0,,,
20-02-2024,0.1,0.1,30.9,16.8,0,,,
21-02-2024,0,0,32.2,20.8,0,,,
22-02-2024,1.2,1.2,31.9,23.8,0,,,
23-02-2024,0.9,0.9,33.4,25.6,0,,,
24-02-2024,0.1,0.1,30.8,21.4,0,,,
25-02-2024,0,0,30.7,16.2,0,,,
26-02-2024,1,1,30.8,20.5,0,,,
27-02-2024,0,0,30.9,19.5,0,,,
28-02-2024,0,0,31.5,16.3,0,,,
